Input File,Input Language,Output Language,Translated Code,Result,Passed All Tests
LARGEST_SUBARRAY_WITH_EQUAL_NUMBER_OF_0S_AND_1S_1.py,java,python,"def f_filled(arr, n):
    hM = {}
    sum = 0
    max_len = 0
    ending_index = -1
    start_index = 0
    for i in range(n):
        arr[i] = -1 if arr[i] == 0 else 1
    for i in range(n):
        sum += arr[i]
        if sum == 0:
            max_len = i + 1
            ending_index = i
        if (sum + n) in hM:
            if max_len < i - hM[sum + n]:
                max_len = i - hM[sum + n]
                ending_index = i
        else:
            hM[sum + n] = i
    for i in range(n):
        arr[i] = 0 if arr[i] == -1 else 1
    end = ending_index - max_len + 1
    return max_len","0 to -1
0 to -1
0 to -1
0 to -1
0 to -1
0 to -1
0 to -1
0 to -1
0 to -1
0 to -1
#Results: 7, 10
",False
MAXIMUM_AVERAGE_SUM_PARTITION_ARRAY.py,java,python,"def f_filled(A, K):
    n = len(A)
    pre_sum = [0] * (n + 1)
    pre_sum[0] = 0
    for i in range(n):
        pre_sum[i + 1] = pre_sum[i] + A[i]
    dp = [0] * n
    for i in range(n):
        dp[i] = (pre_sum[n] - pre_sum[i]) / (n - i)
    for k in range(K - 1):
        for i in range(n):
            for j in range(i + 1, n):
                dp[i] = max(dp[i], (pre_sum[j] - pre_sum[i]) / (j - i) + dp[j])
    return dp[0]","#Results: 9, 10
",False
COUNT_PALINDROME_SUB_STRINGS_STRING.py,java,python,"def f_filled(str, n):
    dp = [[0] * n for _ in range(n)]
    P = [[False] * n for _ in range(n)]
    for i in range(n):
        P[i][i] = True
    for i in range(n - 1):
        if str[i] == str[i + 1]:
            P[i][i + 1] = True
            dp[i][i + 1] = 1
    for gap in range(2, n):
        for i in range(n - gap):
            j = gap + i
            if str[i] == str[j] and P[i + 1][j - 1]:
                P[i][j] = True
            if P[i][j]:
                dp[i][j] = dp[i][j - 1] + dp[i + 1][j] + 1 - dp[i + 1][j - 1]
            else:
                dp[i][j] = dp[i][j - 1] + dp[i + 1][j] - dp[i + 1][j - 1]
    return dp[0][n - 1]","#Results: 10, 10
",True
FIND_ROTATION_COUNT_ROTATED_SORTED_ARRAY_1.py,java,python,"def f_filled(arr, low, high):
    if high < low:
        return 0
    if high == low:
        return low
    mid = low + (high - low) // 2
    if mid < high and arr[mid + 1] < arr[mid]:
        return mid + 1
    if mid > low and arr[mid] < arr[mid - 1]:
        return mid
    if arr[high] > arr[mid]:
        return f_filled(arr, low, mid - 1)
    return f_filled(arr, mid + 1, high)","#Results: 10, 10
",True
TILING_WITH_DOMINOES.py,java,python,"def f_filled(n):
    A = [0] * (n + 1)
    B = [0] * (n + 1)
    A[0] = 1
    A[1] = 0
    B[0] = 0
    B[1] = 1
    for i in range(2, n + 1):
        A[i] = A[i - 2] + 2 * B[i - 1]
        B[i] = A[i - 1] + B[i - 2]
    return A[n]","#Results: 10, 10
",True
FRIENDS_PAIRING_PROBLEM.py,java,python,"def f_filled(n):
    dp = [0] * (n + 1)
    for i in range(n + 1):
        if i <= 2:
            dp[i] = i
        else:
            dp[i] = dp[i - 1] + (i - 1) * dp[i - 2]
    return dp[n]","#Results: 10, 10
",True
COUNT_POSSIBLE_WAYS_TO_CONSTRUCT_BUILDINGS.py,java,python,"def f_filled(N):
    if N == 1:
        return 4
    countB = 1
    countS = 1
    for i in range(2, N + 1):
        prev_countB = countB
        prev_countS = countS
        countS = prev_countB + prev_countS
        countB = prev_countS
    result = countS + countB
    return result * result","#Results: 10, 10
",True
POLICEMEN_CATCH_THIEVES.py,java,python,"def f_filled(arr, n, k):
    res = 0
    thi = []
    pol = []
    for i in range(n):
        if arr[i] == 'P':
            pol.append(i)
        elif arr[i] == 'T':
            thi.append(i)
    l, r = 0, 0
    while l < len(thi) and r < len(pol):
        if abs(thi[l] - pol[r]) <= k:
            res += 1
            l += 1
            r += 1
        elif thi[l] < pol[r]:
            l += 1
        else:
            r += 1
    return res","#Results: 10, 10
",True
TEMPLE_OFFERINGS.py,java,python,"def f_filled(n, templeHeight):
    sum = 0
    for i in range(n):
        left, right = 0, 0
        for j in range(i - 1, -1, -1):
            if templeHeight[j] < templeHeight[j + 1]:
                left += 1
            else:
                break
        for j in range(i + 1, n):
            if templeHeight[j] < templeHeight[j - 1]:
                right += 1
            else:
                break
        sum += max(right, left) + 1
    return sum","#Results: 10, 10
",True
MINIMUM_SUM_SUBSEQUENCE_LEAST_ONE_EVERY_FOUR_CONSECUTIVE_ELEMENTS_PICKED.py,java,python,"def f_filled(arr, n):
    dp = [0] * n
    if n == 1:
        return arr[0]
    if n == 2:
        return min(arr[0], arr[1])
    if n == 3:
        return min(arr[0], min(arr[1], arr[2]))
    if n == 4:
        return min(min(arr[0], arr[1]), min(arr[2], arr[3]))
    dp[0] = arr[0]
    dp[1] = arr[1]
    dp[2] = arr[2]
    dp[3] = arr[3]
    for i in range(4, n):
        dp[i] = arr[i] + min(min(dp[i - 1], dp[i - 2]), min(dp[i - 3], dp[i - 4]))
    return min(min(dp[n - 1], dp[n - 2]), min(dp[n - 4], dp[n - 3]))","#Results: 10, 10
",True
TRIANGULAR_NUMBERS.py,java,python,"def f_filled(num):
    if num < 0:
        return False
    sum = 0
    n = 1
    while sum <= num:
        sum += n
        if sum == num:
            return True
        n += 1
    return False","#Results: 10, 10
",True
SWAP_TWO_NUMBERS_WITHOUT_USING_TEMPORARY_VARIABLE.py,java,python,"def f_filled(xp, yp):
    xp[0] = xp[0] ^ yp[0]
    yp[0] = xp[0] ^ yp[0]
    xp[0] = xp[0] ^ yp[0]","#Results: 10, 10
",True
CHECK_IF_ALL_THE_ELEMENTS_CAN_BE_MADE_OF_SAME_PARITY_BY_INVERTING_ADJACENT_ELEMENTS.py,java,python,"def f_filled(a, n):
    count_odd = 0
    count_even = 0
    for i in range(n):
        if (a[i] & 1) == 1:
            count_odd += 1
        else:
            count_even += 1
    if count_odd % 2 == 1 and count_even % 2 == 1:
        return False
    else:
        return True","#Results: 10, 10
",True
MAXIMUM_PROFIT_BY_BUYING_AND_SELLING_A_SHARE_AT_MOST_TWICE.py,java,python,"def f_filled(price, n):
    profit = [0] * n
    max_price = price[n - 1]
    for i in range(n - 2, -1, -1):
        if price[i] > max_price:
            max_price = price[i]
        profit[i] = max(profit[i + 1], max_price - price[i])
    min_price = price[0]
    for i in range(1, n):
        if price[i] < min_price:
            min_price = price[i]
        profit[i] = max(profit[i - 1], profit[i] + (price[i] - min_price))
    result = profit[n - 1]
    return result","#Results: 10, 10
",True
HOW_TO_CHECK_IF_A_GIVEN_ARRAY_REPRESENTS_A_BINARY_HEAP.py,java,python,"def f_filled(arr, i, n):
    if i > (n - 2) // 2:
        return True
    if (arr[i] >= arr[2 * i + 1] and 
        arr[i] >= arr[2 * i + 2] and 
        f_filled(arr, 2 * i + 1, n) and 
        f_filled(arr, 2 * i + 2, n)):
        return True
    return False","#Results: 10, 10
",True
CHECK_GIVEN_SENTENCE_GIVEN_SET_SIMPLE_GRAMMER_RULES.py,java,python,"def f_filled(str):
    len_str = len(str)
    if str[0] < 'A' or str[0] > 'Z':
        return False
    if str[len_str - 1] != '.':
        return False
    prev_state = 0
    curr_state = 0
    index = 1
    while index <= len_str:
        if 'A' <= str[index] <= 'Z':
            curr_state = 0
        elif str[index] == ' ':
            curr_state = 1
        elif 'a' <= str[index] <= 'z':
            curr_state = 2
        elif str[index] == '.':
            curr_state = 3
        if prev_state == curr_state and curr_state != 2:
            return False
        if prev_state == 2 and curr_state == 0:
            return False
        if curr_state == 3 and prev_state != 1:
            return (index + 1 == len_str)
        index += 1
        prev_state = curr_state
    return False","#Results: 10, 10
",True
